channels,histSpend,histSpendTotal,initSpendUnitTotal,initSpendUnit,initSpendShare,initResponseUnit,initResponseUnitTotal,initRoiUnit,expSpendTotal,expSpendUnitTotal,expSpendUnitDelta,optmSpendUnit,optmSpendUnitDelta,optmSpendUnitTotal,optmSpendUnitTotalDelta,optmSpendShareUnit,optmResponseUnit,optmResponseUnitTotal,optmRoiUnit,optmResponseUnitLift,optmResponseUnitTotalLift
fb,1797576,3608511,9886.33150684931,4924.86575342466,0.498148959501578,628698.226039071,1462063.62232486,127.657941864077,3608511,9886.33150684931,0,2462.43287671233,-0.5,9886.3315068476,-1.73638881051374e-13,0.249074479750832,435138.34682965,1722800.54941264,176.710744461233,-0.30787406611418,0.178334870730979
tv,1810935,3608511,9886.33150684931,4961.46575342466,0.501851040498422,833365.396285794,1462063.62232486,167.967580086704,3608511,9886.33150684931,0,7423.89863013527,0.496311573855149,9886.3315068476,-1.73638881051374e-13,0.750925520249168,1287662.20258299,1722800.54941264,173.448246903059,0.545135193184091,0.178334870730979
