solID,fb_alphas,fb_gammas,fb_thetas,tv_alphas,tv_gammas,tv_thetas,mape,nrmse,decomp.rssd,rsq_train,pos,lambda,Elapsed,ElapsedAccum,iterPar,iterNG,df.int,trial,iterations,coef0,mape.qt10,robynPareto
1_100_1,1.66336860807652,0.836459074328988,0.0788574849879957,1.23883059791669,0.876110125727155,0.119354599323861,0,0.0362539437093701,0.304017789542756,0.975625463634957,1,99175.9613752359,0.145933866500855,118.098415851593,1,100,1,1,595,FALSE,TRUE,70
1_100_2,1.94019157195656,0.971363699782245,0.00736929095499157,0.854129871258278,0.953878200040667,0.0889320926065116,0,0.0361947888138068,0.131811019421645,0.975704941709157,1,99676.1452786714,0.141938209533691,118.241353034973,2,100,1,1,596,FALSE,TRUE,15
1_100_3,1.85926331274738,0.88830924179582,0.0348641248666248,1.23203188110349,0.680151358921374,0.195971509532299,0,0.0401536169861847,0.200663706120076,0.970099724111975,1,99533.0031752412,0.143934011459351,118.386287927628,3,100,1,1,597,FALSE,TRUE,61
1_100_4,1.73709812740091,0.844594405066454,0.0885591394328424,0.338434895109132,0.764957900472007,0.146614284149801,0,0.0557056781077822,0.131149824700515,0.942452722560218,0,119424.255940429,0.171922206878662,118.560209035873,4,100,1,1,598,FALSE,FALSE,
1_100_5,1.86579545578947,0.954361354673811,0.0558343053898318,0.596961615388963,0.775046037278313,0.114782696091572,0,0.0472200508918737,0.0294816650088044,0.958649691593359,0,109209.214881728,0.144932985305786,118.7061419487,5,100,1,1,599,FALSE,TRUE,33
1_100_6,1.94566609181302,0.93880028315474,0.0034582835950656,1.09920147525058,0.72597489133138,0.0159288657871369,0,0.0323024401672622,0.215684280647541,0.980649307445836,1,99657.8772980577,0.144935131072998,118.852077007294,6,100,1,1,600,FALSE,TRUE,39
1_101_1,1.9487434313214,0.926140676710158,0.0183675786318247,1.32301157502354,0.923078678792794,0.140230484059799,0,0.0304039260900022,0.235017919227025,0.982857064636426,1,99638.6054233538,0.140937089920044,119.195920944214,1,101,1,1,601,FALSE,TRUE,43
1_101_2,1.87490772512033,0.750029490952364,0.0318320701535345,1.53791288195893,0.794531866061468,0.013469148082964,0,0.0258886301551528,0.331977936158377,0.987570776603724,1,90568.3945706965,0.144934892654419,119.341854810715,2,101,1,1,602,FALSE,FALSE,
1_101_3,1.98214649649251,0.985231508346562,0.034927770186007,0.92551491342898,0.860584511922779,0.0971771144178378,0,0.0361833921970835,0.145395161018365,0.975720238821586,1,99655.4434905772,0.168923854827881,119.511778831482,3,101,1,1,603,FALSE,TRUE,24
1_101_4,1.95038803140423,0.967258107226836,0.0493959305706242,1.63533065762411,0.758399622872572,0.071111798349152,0,0.0253363600304803,0.293850885134362,0.988095414050495,1,90733.7830678304,0.1439368724823,119.656715869904,4,101,1,1,604,FALSE,TRUE,40
